加工网版号,项目名,欧姆激光标/文件名,精菱正标料号,反标料号,专用LOWE料号,备注,示例图片,LOW专用
01#,飞宇,飞宇门窗,1,101,,,img/1.png,
02#,菲尼斯,菲尼斯,2,102,,400电话,img/2.png,
,,DM,3,,,DM码和尺寸架号，精菱专用,,
03#,三禾,三禾,4,104,,,img/3.png,
05#,喜临门,喜临门/窗,5,105,,,img/5.png,
06#,信义,XYG,6,106,,E005201,img/6.png,
07#,伟洛,伟洛门窗,7,107,207,,img/7.png,img/207.png
08#,家亿轩,家亿轩,8,108,,,img/8.png,
09#,千一门窗,千一,9,109,,奥忆门窗,img/9.png,
10#,蜀丰,蜀丰,10,110,,,img/10.png,
11#,锦上宅,锦上宅,11,111,,雅晟-锦上宅45,img/11.png,
12#,御庭金尊,御庭金尊,12,112,,伟昌子品牌,img/12.png,
13#,伟昌门窗,伟昌门窗,13,113,,伟昌子品牌,img/13.png,
14#,美居宝,美居宝,14,114,,皇逸品牌,img/14.png,
15#,万升,万升,15,115,,皇逸品牌,img/15.png,
16#,红金鱼,红金鱼,16,116,,皇逸品牌,img/16.png,
17#,皇逸,皇逸,17,117,,皇逸品牌,img/17.png,
18#,欣禾,,,,,,img/18.png,
19#,伟标门窗,伟标门窗,19,119,,伟昌子品牌,img/19.png,
20#,迪士叮,迪士叮,20,120,,伟昌子品牌,img/20.png,
21#,伟昌爱家,伟昌爱家,21,121,,伟昌子品牌,img/21.png,
22#,时间静止,时间静止,22,122,,歌蒂雅子品牌,img/22.png,
23#,拉菲尔,拉菲尔,23,123,,,img/23.png,
24#,良木道,良木道新,24,124,,E011500,img/24.png,
25#,蜀欣,蜀欣,25,125,,,img/25.png,
26#,一帆,一帆,26,126,,,img/26.png,
27#,凯达小鹿,凯达小鹿,27,127,,歌帝雅子品牌,img/27.png,
28#,凯达名?窗,凯达名窗,28,128,,歌帝雅子品牌,img/28.png,
29#,美萨,美萨,29,129,,,img/29.png,
30#,铂斯图,铂斯图,,,,,img/30.png,
31#,恒正,恒正普3C,31,131,,,img/31.png,
32#,KS门窗,KS门窗,32,132,,番茄门窗子品牌,img/32.png,
33#,西塞罗,西塞罗,33,133,,番茄门窗子品牌,img/33.png,
34#,蒂凡朵,蒂凡朵新,34,134,,E011500,img/34.png,
35#,欧技优品,,,,,,img/35.png,
36#,铭人印象,铭人印象,36,136,,外框实线，内容空心不填充,img/36.png,
37#,世馨门窗,世馨门窗,37,137,,铭人印象子品牌,img/37.png,
38#,瑰丽,良木道瑰丽,38,138,,E011500 LEAWOD CR,img/38.png,
39#,,,,,,,img/39.png,
40#,雅派,雅派,40,140,,,img/40.png,
41#,洛兰世嘉,洛兰世嘉,41,141,,雅派子品牌,img/41.png,
42#,名飞,名飞新,42,142,,,img/42.png,
43#,安能,安能,43,143,,,img/43.png,
44#,,,,,,,img/44.png,
45#,,,,,,,img/45.png,
46#,皇仕博,皇仕博,46,146,,名飞子品牌,img/46.png,
47#,,,,,,,img/47.png,
48#,千紫,千紫超静音,48,148,,,img/48.png,
49#,御景坊,,,,,,img/49.png,
50#,,,,,,,img/50.png,
51#,雅百利,雅百利,51,151,,蜀欣子品牌,img/51.png,
52#,际豪,际豪,52,152,,蜀欣子品牌,img/52.png,
53#,PICC标,恒华PICC,53,153,,飞宇样式，下方,img/53.png,
54#,,,,,,,img/54.png,
55#,每家静,,,,,,img/55.png,
56#,,,,,,,img/56.png,
57#,诺利安,诺利安,57,157,257,,img/57.png,img/257.png
58#,艾乐,艾乐,,,,番茄门窗,img/58.png,
59#,番茄,番茄,,,,番茄门窗,img/59.png,
60#,欧度,欧度,,,,番茄门窗,img/60.png,
61#,雅美盾,,,,,,img/61.png,
62#,众志,众志,62,162,,,img/62.png,
63#,丽维家,丽维家,63,163,,欧豪牧逸门窗,img/63.png,
64#,欧豪,欧豪,64,164,,欧豪牧逸门窗,img/64.png,
65#,牧逸,牧逸,65,165,,欧豪牧逸门窗,img/65.png,
66#,优家,,,,,,img/66.png,
67#,蒂凡希,,,,,,img/67.png,
68#,,,,,,,img/68.png,
69#,家禾美,,,,,,img/69.png,
70#,,,,,,,img/70.png,
71#,PICC标,恒华PICC,71,717,,蜀欣样式，上方,img/53.png,
72#,,,,,,,img/72.png,
73#,匠格仕,匠格仕,73,173,,匠格仕门窗,img/73.png,
74#,雅承,雅承,74,174,,匠格仕门窗,img/74.png,
75#,,,,,,,img/75.png,
76#,,,,,,,img/76.png,
77#,,,,,,,img/77.png,
78#,圣堡罗,圣堡罗,78,178,,40*40,img/78.png,
78# 2025新,圣堡罗,圣保罗2025,278,378,,40*40  2025新,img/782025.png,
79#,索菲亚,索菲亚,79,179,,40*40,img/79.png,
79# 2025新,索菲亚,索菲亚2025,279,379,,40*40  2025新,img/792025.png,
80#,孚星,孚星门窗,80,180,,孚星门窗,img/80.png,
81#,汇景,汇景门窗,81,181,,孚星门窗,img/81.png,
82#,,,,,,,img/82.png,
83#,,,,,,,img/83.png,
84#,歌蒂雅,歌蒂雅,84,184,,歌蒂雅子品牌,img/84.png,
85#,梦莎拉蒂,梦莎拉蒂,85,185,,歌蒂雅子品牌,img/85.png,
86#,天懿门窗,天懿门窗,,,,圣帝罗兰,img/86.png,
87#,威克图,威克图,,,,圣帝罗兰,img/87.png,
88#,心视界,心视界,88,188,,诺利安子品牌,img/88.png,
89#,芮鸿门窗,芮鸿门窗,,,,,img/89.png,
90#,WKT,WKT,,,,圣帝罗兰,img/90.png,
91#,誉府仕家,誉府仕家,91,191,,誉府仕家,img/91.png,
92#,豹鹏门窗,豹鹏门窗,92,192,,誉府仕家,img/92.png,
93#,雅晟,雅晟,93,193,293,雅晟,img/93.png,img/293.png
94#,朴明,朴明,94,194,294,雅晟,img/94.png,img/294.png
95#,圣象,圣象,95,195,295,雅晟,img/95.png,img/295.png
96#,艾依格,艾依格,96,196,,40*40,img/96.png,
96# 2025新,艾依格,艾依格2025,296,396,,40*40  2025新,img/962025.png,
97#,斐梵,斐梵,97,197,,蜀欣子品牌,img/97.png,
98#,,,,,,,img/98.png,
99#,普3C,普3C,99,199,,,img/99.png,
LOWE,通用LOWE,,298,,,,img/LOWE.png,
